"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2017. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Vácrátót";"18,09";"1906,0";"1310,0";"28";"16";"12";"14";
"Vecsési járás";"119,75";"48856,5";"33181,0";"616";"295";"198";"123";
"Ecser";"13,10";"3818,0";"2481,0";"33";"7";"2";"10";
"Maglód";"22,38";"12283,5";"8438,0";"180";"95";"63";"27";
"Üllõ";"48,10";"11900,0";"8167,0";"181";"96";"70";"45";
"Vecsés";"36,17";"20855,0";"14095,0";"222";"97";"63";"41";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";" ";" ";" ";
"Dunántúl";"36612,07";"2930719,0";"1952899,0";"65353";"29630";"17166";"37091";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"11086,47";"1055833,5";"705903,0";"18307";"7682";"4540";"8567";
"Fejér megye";"4358,48";"416453,0";"279871,0";"7969";"3496";"2131";"3164";
"Bicskei járás";"578,25";"35969,0";"24558,0";"468";"193";"114";"158";
"Alcsútdoboz";"50,71";"1424,5";"917,0";"29";"16";"11";"14";
"Bicske";"77,08";"12034,5";"8339,0";"146";"59";"33";"45";
"Bodmér";"7,17";"230,0";"162,0";"5";"3";"2";"1";
"Csabdi";"17,02";"1227,0";"820,0";"15";"6";"5";"7";
"Csákvár";"118,76";"5269,0";"3635,0";"63";"24";"12";"21";
"Etyek";"53,27";"4113,5";"2760,0";"47";"16";"12";"5";
"Felcsút";"22,02";"1825,5";"1259,0";"21";"9";"4";"9";
"Gánt";"58,15";"868,5";"627,0";"9";"2";"1";"4";
"Mány";"44,72";"2441,0";"1640,0";"40";"15";"11";"10";
"Óbarok";"19,26";"793,0";"553,0";"20";"6";"3";"7";
"Szár";"22,63";"1689,5";"1149,0";"18";"11";"7";"2";
"Tabajd";"26,57";"948,5";"635,0";"16";"9";"3";"12";
"Újbarok";"1,49";"427,5";"279,0";"5";"4";"2";" ";
"Vértesacsa";"36,19";"1783,5";"1148,0";"26";"11";"6";"17";
"Vértesboglár";"23,21";"893,5";"635,0";"8";"2";"2";"4";
"Dunaújvárosi járás";"650,05";"89222,0";"59773,0";"2377";"1204";"780";"735";
"Adony";"61,05";"3758,0";"2534,0";"84";"41";"30";"23";
"Baracs";"55,18";"3346,0";"2309,0";"89";"37";"28";"16";
"Beloiannisz";"4,54";"1042,5";"755,0";"28";"20";"13";"6";
"Besnyõ";"44,64";"1705,5";"1165,0";"21";"13";"8";"17";
"Daruszentmiklós";"19,12";"1305,5";"895,0";"49";"28";"13";"44";
"Dunaújváros";"52,67";"44499,0";"29377,0";"1193";"609";"402";"283";
"Elõszállás";"39,98";"2175,0";"1444,0";"70";"33";"16";"38";
"Iváncsa";"25,17";"2766,0";"1900,0";"49";"23";"9";"23";
"Kisapostag";"9,58";"1363,0";"935,0";"39";"22";"14";"15";
"Kulcs";"16,73";"2950,0";"1999,0";"78";"37";"27";"26";
"Mezõfalva";"80,42";"4595,0";"3114,0";"169";"87";"51";"46";
"Nagykarácsony";"30,46";"1283,0";"879,0";"38";"16";"11";"36";
"Nagyvenyim";"43,68";"4052,0";"2712,0";"82";"41";"25";"22";
"Perkáta";"74,52";"3920,5";"2584,0";"127";"61";"40";"64";
"Pusztaszabolcs";"51,67";"5873,0";"4019,0";"154";"80";"47";"50";
"Rácalmás";"40,64";"4588,0";"3152,0";"107";"56";"46";"26";
"Enyingi járás";"433,14";"20231,0";"13749,0";"598";"256";"132";"387";
"Dég";"46,89";"2200,5";"1470,0";"50";"20";"8";"24";
"Enying";"82,78";"6663,0";"4524,0";"255";"108";"59";"78";
"Kisláng";"53,06";"2459,5";"1722,0";"72";"36";"23";"56";
