"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2020. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Szigetmonostor";"23,51";"2697,0";"1799,0";"39";"15";"6";"11";
"Tahitótfalu";"39,17";"5917,5";"3907,0";"79";"35";"20";"3";
"Visegrád";"33,27";"1844,0";"1080,0";"19";"8";"6";" ";
"Szigetszentmiklósi járás";"211,46";"126030,5";"84277,0";"1609";"647";"337";"26";
"Délegyháza";"25,60";"5400,5";"3782,0";"57";"19";"11";"4";
"Dunaharaszti";"29,17";"23357,0";"15329,0";"254";"106";"56";"1";
"Dunavarsány";"22,52";"8573,5";"5734,0";"125";"50";"24";"2";
"Halásztelek";"8,64";"11658,0";"7604,0";"149";"57";"24";"2";
"Majosháza";"11,42";"1672,0";"1124,0";"29";"14";"5";" ";
"Szigethalom";"9,12";"18188,0";"12355,0";"256";"100";"58";"8";
"Szigetszentmiklós";"45,65";"40312,0";"27011,0";"545";"216";"118";"1";
"Taksony";"20,85";"6435,5";"4302,0";"79";"37";"16";"6";
"Tököl";"38,49";"10434,0";"7036,0";"115";"48";"25";"2";
"Szobi járás";"438,26";"25170,0";"16033,0";"464";"251";"139";"171";
"Bernecebaráti";"37,69";"825,5";"552,0";"24";"9";"6";"8";
"Ipolydamásd";"11,58";"381,5";"252,0";"9";"6";"4";"13";
"Ipolytölgyes";"13,67";"397,0";"311,0";"7";"6";"5";"1";
"Kemence";"42,75";"910,5";"584,0";"29";"18";"11";"18";
"Kismaros";"11,96";"2477,5";"1595,0";"31";"15";"11";"9";
"Kóspallag";"12,77";"727,0";"494,0";"15";"9";"3";"8";
"Letkés";"24,56";"1083,0";"750,0";"24";"13";"8";"14";
"Márianosztra";"20,27";"817,5";"569,0";"17";"9";"4";"14";
"Nagybörzsöny";"50,65";"641,5";"387,0";"13";"12";"7";"6";
"Nagymaros";"34,37";"5005,0";"3095,0";"94";"51";"30";"19";
"Perõcsény";"41,36";"308,5";"194,0";"5";"4";"1";"6";
"Szob";"17,97";"2536,0";"1665,0";"36";"15";"5";"17";
"Szokolya";"59,05";"2018,0";"1302,0";"36";"14";"8";"15";
"Tésa";"4,38";"82,0";"61,0";"4";"3";"3";" ";
"Vámosmikola";"25,27";"1624,0";"952,0";"26";"13";"7";"6";
"Verõce";"20,33";"4063,0";"2493,0";"80";"45";"23";"12";
"Zebegény";"9,63";"1272,5";"777,0";"14";"9";"3";"5";
"Váci járás";"360,06";"69041,0";"45031,0";"1214";"642";"302";"150";
"Acsa";"26,94";"1387,5";"944,0";"37";"19";"11";"16";
"Csörög";"5,05";"2148,0";"1474,0";"49";"23";"11";"24";
"Csõvár";"17,17";"599,5";"377,0";"8";"2";" ";"4";
"Galgagyörk";"14,72";"999,5";"658,0";"35";"23";"13";"3";
"Kisnémedi";"13,86";"653,0";"419,0";"12";"6";"3";"3";
"Kosd";"34,09";"2391,5";"1594,0";"41";"21";"12";"12";
"Õrbottyán";"27,38";"7744,0";"5243,0";"118";"55";"26";"1";
"Penc";"21,34";"1570,5";"1070,0";"18";"5";"4";"8";
"Püspökhatvan";"24,72";"1390,5";"876,0";"42";"27";"9";"9";
"Püspökszilágy";"25,30";"732,0";"489,0";"11";"7";"3";"1";
"Rád";"17,74";"1970,5";"1340,0";"21";"9";"4";"7";
"Szõd";"13,54";"3821,0";"2595,0";"42";"16";"9";"10";
