"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2018. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Zebegény";"14";"4";"2";"8";
"Váci járás";"966";"472";"306";"198";
"Acsa";"31";"7";"3";"21";
"Csörög";"38";"21";"15";"27";
"Csõvár";"6";"1";" ";"3";
"Galgagyörk";"36";"22";"13";"6";
"Kisnémedi";"11";"9";"7";"8";
"Kosd";"42";"20";"13";"12";
"Õrbottyán";"97";"46";"32";"7";
"Penc";"16";"1";" ";"12";
"Püspökhatvan";"34";"18";"13";"8";
"Püspökszilágy";"8";"5";"3";"3";
"Rád";"18";"11";"8";"6";
"Szõd";"31";"10";"4";"9";
"Szõdliget";"36";"13";"11";"8";
"Vác";"492";"252";"162";"39";
"Vácduka";"19";"8";"2";"13";
"Váchartyán";"27";"17";"11";"6";
"Váckisújfalu";"7";"3";"3";"1";
"Vácrátót";"17";"8";"6";"9";
"Vecsési járás";"498";"246";"172";"64";
"Ecser";"28";"8";"3";"4";
"Maglód";"140";"76";"54";"14";
"Üllõ";"158";"88";"61";"16";
"Vecsés";"172";"74";"54";"30";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";
"Dunántúl";"63069";"28577";"15874";"25672";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"17901";"7438";"4289";"5626";
"Fejér megye";"7546";"3343";"2016";"2339";
"Bicskei járás";"401";"172";"113";"110";
"Alcsútdoboz";"21";"13";"11";"11";
"Bicske";"122";"43";"22";"28";
"Bodmér";"4";"3";"2";" ";
"Csabdi";"16";"4";"3";"6";
"Csákvár";"69";"32";"19";"14";
"Etyek";"26";"15";"12";" ";
"Felcsút";"17";"8";"7";"3";
"Gánt";"3";"1";"1";"4";
"Mány";"29";"13";"9";"12";
"Óbarok";"10";"6";"2";"5";
"Szár";"15";"7";"6";"1";
"Tabajd";"22";"6";"6";"10";
"Újbarok";"7";"2";"2";" ";
"Vértesacsa";"28";"13";"8";"13";
"Vértesboglár";"12";"6";"3";"3";
"Dunaújvárosi járás";"2212";"1115";"704";"528";
"Adony";"96";"33";"26";"19";
"Baracs";"72";"34";"25";"19";
"Beloiannisz";"26";"17";"14";"5";
"Besnyõ";"25";"14";"5";"13";
"Daruszentmiklós";"45";"23";"5";"26";
"Dunaújváros";"1115";"564";"359";"189";
"Elõszállás";"69";"28";"17";"25";
"Iváncsa";"58";"28";"15";"16";
"Kisapostag";"30";"15";"9";"9";
"Kulcs";"68";"29";"22";"20";
"Mezõfalva";"167";"102";"52";"42";
"Nagykarácsony";"56";"19";"10";"13";
"Nagyvenyim";"64";"31";"21";"14";
"Perkáta";"102";"56";"37";"62";
"Pusztaszabolcs";"122";"66";"51";"36";
"Rácalmás";"97";"56";"36";"20";
"Enyingi járás";"652";"298";"157";"323";
"Dég";"56";"25";"15";"22";
"Enying";"282";"145";"75";"69";
"Kisláng";"82";"39";"23";"35";
"Lajoskomárom";"38";"13";"5";"46";
"Lepsény";"80";"32";"14";"23";
"Mátyásdomb";"30";"17";"12";"18";
"Mezõkomárom";"20";"4";"2";"42";
"Mezõszentgyörgy";"46";"16";"9";"24";
"Szabadhídvég";"18";"7";"2";"44";
"Gárdonyi járás";"369";"133";"82";"122";
"Gárdony";"144";"48";"29";"36";
"Kápolnásnyék";"31";"13";"9";"12";
"Nadap";"7";"5";"2";"3";
"Pákozd";"39";"16";"9";"10";
"Pázmánd";"17";"6";"4";"10";
"Sukoró";"9";"3";"2";"13";
"Szabadegyháza";"37";"14";"12";"15";
"Velence";"58";"18";"10";"10";
"Vereb";"5";"1";"1";"9";
"Zichyújfalu";"22";"9";"4";"4";
"Martonvásári járás";"518";"288";"173";"113";
"Baracska";"28";"11";"10";"14";
"Ercsi";"289";"188";"111";"44";
"Gyúró";"14";"5";"2";"4";
"Kajászó";"21";"12";"9";"2";
"Martonvásár";"40";"15";"10";"9";
"Ráckeresztúr";"69";"32";"17";"21";
"Tordas";"19";"8";"4";"1";
"Vál";"38";"17";"10";"18";
"Móri járás";"501";"198";"113";"112";
"Bakonycsernye";"48";"17";"6";"15";
"Balinka";"22";"13";"8";"1";
"Bodajk";"68";"22";"11";"15";
"Csákberény";"9";"6";"5";"9";
"Csókakõ";"20";"9";"4";"3";
"Fehérvárcsurgó";"23";"8";"5";"3";
"Isztimér";"10";"3";"2";"4";
"Kincsesbánya";"21";"10";"7";"6";
"Magyaralmás";"13";"9";"6";"3";
"Mór";"222";"90";"54";"37";
"Nagyveleg";"11";"1";" ";"8";
"Pusztavám";"30";"8";"5";"6";
"Söréd";"4";"2";" ";"2";
"Sárbogárdi járás";"786";"356";"180";"460";
"Alap";"48";"16";"7";"15";
"Alsószentiván";"18";"10";"1";"16";
"Cece";"81";"39";"25";"54";
"Hantos";"14";"7";"3";"12";
"Igar";"36";"18";"11";"45";
"Mezõszilas";"51";"18";"7";"27";
"Nagylók";"14";"6";"4";"9";
"Sárbogárd";"324";"140";"76";"174";
"Sáregres";"19";"9";"4";"14";
"Sárkeresztúr";"100";"56";"26";"59";
"Sárszentágota";"51";"21";"8";"19";
"Vajta";"30";"16";"8";"16";
"Székesfehérvári járás";"2107";"783";"494";"571";
"Aba";"66";"19";"15";"36";
"Bakonykúti";"2";"1";" ";" ";
"Csór";"23";"9";"4";"7";
"Csõsz";"15";"5";"4";"17";
"Füle";"17";"5";"2";"8";
"Iszkaszentgyörgy";"36";"13";"12";"6";
"Jenõ";"18";"4";"3";"4";
"Káloz";"53";"24";"14";"25";
"Kõszárhegy";"28";"9";"5";"14";
"Lovasberény";"48";"24";"18";"18";
"Moha";"8";"2";"1";" ";
"Nádasdladány";"38";"12";"6";"15";
"Pátka";"39";"12";"7";"39";
"Polgárdi";"140";"48";"33";"27";
"Sárkeresztes";"24";"7";"5";"10";
"Sárkeszi";"6";"2";"2";"11";
"Sárosd";"47";"12";"4";"34";
"Sárszentmihály";"48";"17";"13";"27";
"Seregélyes";"49";"13";"10";"33";
"Soponya";"25";"9";"3";"21";
"Szabadbattyán";"83";"38";"23";"11";
"Székesfehérvár";"1206";"473";"297";"146";
"Tác";"28";"7";"2";"24";
"Úrhida";"28";"12";"8";"13";
"Zámoly";"32";"6";"3";"25";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Fejér megye területre nem bontható adatai";" ";" ";" ";" ";
"Komárom-Esztergom megye";"4642";"1726";"944";"1304";
"Esztergomi járás";"1332";"571";"323";"341";
"Annavölgy";"19";"4";"2";"8";
"Bajna";"37";"20";"10";"12";
"Bajót";"42";"14";"10";"6";
"Csolnok";"48";"19";"9";"8";
"Dág";"19";"11";"8";"4";
"Dorog";"161";"77";"43";"45";
"Dömös";"16";"11";"3";"8";
"Epöl";"14";"10";"2";"4";
"Esztergom";"332";"122";"68";"91";
"Kesztölc";"42";"18";"11";"5";
"Lábatlan";"72";"29";"17";"14";
"Leányvár";"19";"7";"4";"4";
"Máriahalom";"14";"11";"7";"4";
"Mogyorósbánya";"10";"3";" ";"4";
"Nagysáp";"39";"22";"11";"7";
"Nyergesújfalu";"84";"37";"28";"14";
"Piliscsév";"39";"23";"12";"13";
"Pilismarót";"29";"7";"2";"23";
"Sárisáp";"53";"22";"9";"12";
"Süttõ";"34";"15";"11";"16";
"Tát";"63";"23";"13";"14";
"Tokod";"92";"41";"24";"10";
"Tokodaltáró";"43";"18";"14";"12";
"Úny";"11";"7";"5";"3";
"Kisbéri járás";"314";"124";"72";"259";
"Ácsteszér";"14";"5";"3";"13";
"Aka";"5";"1";"1";"5";
"Ászár";"13";"3";"1";"13";
"Bakonybánk";"4";"2";"2";"9";
"Bakonysárkány";"18";"6";"3";"13";
"Bakonyszombathely";"20";"5";"3";"37";
"Bársonyos";"11";"2";"2";"5";
"Császár";"38";"19";"7";"16";
"Csatka";"7";"2";"1";"7";
"Csép";"5";" ";" ";"5";
"Ete";"7";"2";"2";"10";
"Kerékteleki";"7";"2";"2";"7";
"Kisbér";"98";"51";"29";"24";
"Réde";"19";"8";"5";"20";
"Súr";"13";"5";"5";"39";
"Tárkány";"27";"9";"5";"29";
"Vérteskethely";"8";"2";"1";"7";
"Komáromi járás";"621";"225";"136";"147";
"Ács";"122";"42";"24";"39";
"Almásfüzitõ";"33";"12";"4";"10";
"Bábolna";"30";"11";"10";"5";
"Bana";"21";"7";"6";"3";
"Csém";"10";"6";"4";"6";
"Kisigmánd";"5";"1";"1";" ";
"Komárom";"326";"112";"66";"59";
"Mocsa";"38";"18";"12";"13";
"Nagyigmánd";"36";"16";"9";"12";
"Oroszlányi járás";"442";"140";"64";"101";
"Bokod";"29";"12";"3";"5";
"Dad";"24";"7";"3";"7";
"Kecskéd";"23";"8";"5";"6";
"Kömlõd";"17";"5";"2";"6";
"Oroszlány";"333";"105";"49";"67";
"Szákszend";"16";"3";"2";"10";
"Tatai járás";"544";"179";"80";"134";
"Baj";"42";"13";"2";"15";
"Dunaalmás";"15";"7";"3";"5";
"Dunaszentmiklós";"10";"2";" ";"1";
"Kocs";"28";"5";"2";"3";
"Naszály";"34";"15";"3";"24";
"Neszmély";"22";"9";"6";"8";
"Szomód";"19";"2";"1";"4";
"Tardos";"19";"7";"4";"10";
"Tata";"350";"117";"58";"62";
"Vértestolna";"5";"2";"1";"2";
"Tatabányai járás";"1389";"487";"269";"322";
"Gyermely";"13";"1";"1";"8";
"Héreg";"24";"11";"4";"9";
"Környe";"64";"27";"16";"18";
"Szárliget";"39";"6";"3";"8";
"Szomor";"15";"3";"1";"8";
"Tarján";"37";"10";"6";"10";
"Tatabánya";"1135";"402";"226";"244";
"Várgesztes";"7";"3";"1";"2";
"Vértessomló";"9";"3";"1";"2";
"Vértesszõlõs";"46";"21";"10";"13";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Komárom-E megye területre nem bontható adatai";" ";" ";" ";" ";
"Veszprém megye";"5713";"2369";"1329";"1983";
"Ajkai járás";"667";"257";"138";"166";
"Ajka";"477";"175";"95";"89";
"Csehbánya";"5";"4";"1";"2";
"Farkasgyepû";"5";" ";" ";"3";
"Halimba";"27";"9";"5";"7";
"Kislõd";"18";"4";"3";"6";
"Magyarpolány";"16";"8";"5";"11";
"Nyirád";"32";"18";"9";"20";
"Öcs";"12";"6";"4";"1";
"Szõc";"13";"7";"4";"8";
"Úrkút";"29";"8";"4";"8";
"Városlõd";"33";"18";"8";"11";
"Balatonalmádi járás";"450";"192";"110";"110";
"Balatonakarattya";"17";"9";"7";"1";
"Balatonalmádi";"157";"68";"30";"21";
"Balatonfõkajár";"18";"5";"2";"9";
"Balatonfûzfõ";"60";"21";"12";"15";
"Balatonkenese";"63";"35";"22";"18";
"Csajág";"14";"6";"4";"11";
"Felsõörs";"22";"7";"5";"6";
"Királyszentistván";"13";"3";"2";" ";
"Küngös";"16";"6";"4";"17";
"Litér";"42";"21";"17";"9";
"Papkeszi";"28";"11";"5";"3";
"Balatonfüredi járás";"441";"176";"110";"82";
"Alsóörs";"16";"9";"5";"5";
"Aszófõ";"13";"7";"5";"2";
"Balatonakali";"15";"6";"6";"2";
